iddrink,strdrink,stralcoholic,strcategory,strglass,strinstructions
14560,A.D.M. (After Dinner Mint),Alcoholic,Cocktail,Irish coffee cup,shake vigorously
12760,Surf City Lifesaver,Alcoholic,Ordinary Drink,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.
12442,Vermouth Cassis,Alcoholic,Ordinary Drink,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
12688,Just a Moonmint,Non alcoholic,Milk / Float / Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
13775,Jelly Bean,Alcoholic,Shot,Cordial glass,mix equal parts in pony glass-tastes just like a jelly bean!
13395,Bob Marley,Alcoholic,Shot,Shot glass,Layer in a 2 oz shot glass or pony glass
11965,Port Wine Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
14730,Bubble Gum,Alcoholic,Shot,Shot glass,Layer in order into a shot glass.
13377,Sea breeze,Alcoholic,Ordinary Drink,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
11566,Jewel Of The Nile,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
14956,Jello shots,Alcoholic,Shot,Shot glass,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
12722,Strawberry Shivers,Non alcoholic,Other/Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
16031,Radler,Alcoholic,Ordinary Drink,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite)."
12308,Stone Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
17219,Yellow Bird,Alcoholic,Cocktail,Cocktail glass,Shake and strain into a chilled cocktail glass
14133,Cosmopolitan Martini,Alcoholic,Cocktail,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
14446,Kool-Aid Slammer,Alcoholic,Shot,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
14029,'57 Chevy with a White License Plate,Alcoholic,Cocktail,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
13058,Wine Punch,Alcoholic,Punch / Party Drink,Collins Glass,Combine all of the ingredients and pour over a block of ice.
14456,Kurant Tea,Alcoholic,Coffee / Tea,Champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
17255,Gimlet,Alcoholic,Cocktail,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel."
16943,A Gilligan's Island,Alcoholic,Cocktail,Collins glass,"Shaken, not stirred!"
12758,Gagliardo,Alcoholic,Cocktail,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
17209,Barracuda,Alcoholic,Ordinary Drink,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
12370,Tequila Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
11002,A. J.,Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve."
12954,Holloween Punch,Non alcoholic,Punch / Party Drink,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
12800,Coffee-Vodka,Alcoholic,Homemade Liqueur,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product."
17141,Smut,Alcoholic,Punch / Party Drink,Beer mug,Throw it all together and serve real cold.
17254,Bijou,Alcoholic,Cocktail,Cocktail glass,"Stir in mixing glass with ice and strain
"
17268,Blue Hurricane,Alcoholic,Cocktail,Highball glass,"If each part is 1/2 oz then use about 2.5 cups of ice.

Blend it all together. 
Drink it with a big straw if you have one.

"
12388,Thriller,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
17005,A True Amaretto Sour,Alcoholic,Cocktail,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
17213,French Martini,Alcoholic,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
11019,Alfie Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
11528,Irish Spring,Alcoholic,Ordinary Drink,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
16262,H.D.,Alcoholic,Coffee / Tea,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
11728,Martini,Alcoholic,Cocktail,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
11416,Gin Smash,Alcoholic,Ordinary Drink,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
17183,Bacardi Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Shake together with ice. Strain into glass and serve.
11149,Boxcar,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
15813,Herbal flame,Alcoholic,Coffee / Tea,Mason jar,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
13282,Black & Tan,Alcoholic,Beer,Pint glass,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.
15178,Texas Rattlesnake,Alcoholic,Shot,Highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
12162,Screwdriver,Alcoholic,Ordinary Drink,Highball glass,Mix in a highball glass with ice. Garnish and serve.
12774,Masala Chai,Non alcoholic,Coffee / Tea,Coffee Mug,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
11403,Gin And Tonic,Alcoholic,Ordinary Drink,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.
16295,Bleeding Surgeon,Alcoholic,Soft Drink / Soda,Collins glass,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass."
15194,Amaretto Shake,Alcoholic,Ordinary Drink,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
12668,Egg Cream,Non alcoholic,Other/Unknown,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
17176,Ipamena,Non Alcoholic,Ordinary Drink,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
11324,Dry Rob Roy,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
14229,747,Alcoholic,Shot,Shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
15841,Mojito #3,Alcoholic,Cocktail,Collins glass,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
11396,Gentleman's Club,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
13070,Fahrenheit 5000,Alcoholic,Shot,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
15933,Zambeer,Alcoholic,Soft Drink / Soda,Collins Glass,Mix sambuca with rootbeer and stir. Add ice
12716,Mango Orange Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.
12696,Lassi - Sweet,Non alcoholic,Other/Unknown,Highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
12672,Fruit Flip-Flop,Non alcoholic,Other/Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
15853,B-52,Alcoholic,Shot,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.
17233,Salted Toffee Martini,Alcoholic,Cocktail,Cocktail glass,"Add ice, toffee gin, chocolate liqueur and Amaretto to a cocktail shaker and shake vigorously. 
Pour the chocolate syrup into a saucer and dip the top of a martini glass into the sauce. Grate some of the Willie\'s sea salt chocolate into another saucer and dip the coated glass, so the flakes stick to the sauce, creating a chocolate rim!
Pour the contents of the shaker into your chocolatey glass and sprinkle with more grated chocolate - enjoy!  "
16158,Whitecap Margarita,Alcoholic,Other/Unknown,Margarita/Coupette glass,Place all ingredients in a blender and blend until smooth. This makes one drink.
12190,Sherry Flip,Alcoholic,Ordinary Drink,Nick and Nora Glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
11658,Loch Lomond,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
12746,Nuked Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts."
12692,Lassi Khara,Non alcoholic,Other/Unknown,Highball Glass,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
17210,Bramble,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
14598,50/50,Alcoholic,Ordinary Drink,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
16275,Jack's Vanilla Coke,Alcoholic,Other/Unknown,Old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
11959,Poppy Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve."
13751,Cuba Libra,Alcoholic,Ordinary Drink,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
12726,Tomato Tang,Non alcoholic,Other/Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
11424,Godmother,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.
12057,Royal Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
15521,Swedish Coffee,Alcoholic,Coffee / Tea,Coffee Mug,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
11000,A Furlong Too Late,Alcoholic,Ordinary Drink,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
12786,Thai Iced Tea,Non alcoholic,Coffee / Tea,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
13162,Afternoon,Alcoholic,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
17247,The Last Word,Alcoholic,Cocktail,Cocktail glass,Shake with ice and strain into a cocktail glass.
13190,Kool-Aid Shot,Alcoholic,Shot,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
14071,Belgian Blue,Alcoholic,Soft Drink / Soda,Highball glass,Just pour all ingredients in the glass and stir...
17246,Empellón Cocina's Fat-Washed Mezcal,Alcoholic,Cocktail,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture."
14564,A Splash of Nash,Alcoholic,Shot,Highball glass,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
17187,Derby,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.
17193,Stinger,Alcoholic,Ordinary Drink,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
12752,Lemon Shot,Alcoholic,Shot,Shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
11064,Banana Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
15395,1-900-FUK-MEUP,Alcoholic,Shot,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
12756,Autodafé,Alcoholic,Ordinary Drink,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
15106,Apello,Non alcoholic,Other/Unknown,Collins Glass,Stirr. Grnish with maraschino cherry.
17225,Ace,Alcoholic,Cocktail,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
11407,Gin Cooler,Alcoholic,Ordinary Drink,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
17208,Rose,Alcoholic,Ordinary Drink,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
12130,Scooter,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
12654,Banana Milk Shake,Non alcoholic,Milk / Float / Shake,White wine glass,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana."
14195,Snowball,Alcoholic,Ordinary Drink,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
14107,Absolut Summertime,Alcoholic,Cocktail,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
13499,Oreo Mudslide,Alcoholic,Ordinary Drink,Collins Glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry."
12518,Whisky Mac,Alcoholic,Ordinary Drink,Collins Glass,Pour both of the ingredients into a wine goblet with no ice.
12802,Cranberry Cordial,Alcoholic,Homemade Liqueur,Collins Glass,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks."
14374,Absolut Evergreen,Alcoholic,Other/Unknown,Collins Glass,"Mix, pour over ice and top up with Bitter Lemon."
12808,Creme de Menthe,Alcoholic,Homemade Liqueur,Collins Glass,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.
17267,Bahama Mama,Alcoholic,Cocktail,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw."
12768,Frappé,Non alcoholic,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
12732,Chocolate Beverage,Non alcoholic,Cocoa,Coffee mug,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight."
12322,Strawberry Margarita,Alcoholic,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve."
14622,Arctic Fish,Alcoholic,Punch / Party Drink,Beer pilsner,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled."
14602,Tequila Surprise,Alcoholic,Shot,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.
13731,Amaretto Sour,Alcoholic,Ordinary Drink,Collins Glass,Shake and strain. Garnish with a cherry and an orange slice.
12450,Victor,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11417,Gin Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
11558,Japanese Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
15184,San Francisco,Alcoholic,Ordinary Drink,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
16271,The Evil Blue Thing,Alcoholic,Cocktail,Old-fashioned glass,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
16176,Bellini Martini,Alcoholic,Ordinary Drink,Cocktail glass,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel."
15026,Kiss me Quick,Alcoholic,Ordinary Drink,Highball glass,mix in the glass
12618,Orangeade,Non alcoholic,Cocktail,Highball glass,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw."
17224,Absolutely Fabulous,Alcoholic,Cocktail,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
12630,Rail Splitter,Non alcoholic,Cocktail,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
13621,Tequila Sunrise,Alcoholic,Cocktail,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
12820,Irish Cream,Alcoholic,Homemade Liqueur,Irish coffee cup,Mix scotch and milk. Add half-and-half. Add rest.
14608,Cream Soda,Alcoholic,Cocktail,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
15092,Pysch Vitamin Light,Non alcoholic,Ordinary Drink,Collins Glass,Shake with ice.
11872,Orgasm,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
15086,Limona Corona,Alcoholic,Beer,Beer Glass,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
17197,French 75,Alcoholic,Ordinary Drink,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
11983,Quaker's Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
13807,After Five,Alcoholic,Shot,Shot glass,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled"
13056,Wine Cooler,Optional alcohol,Punch / Party Drink,Collins Glass,Mix wine and soft drink. Pour into glass. Add ice.
11053,Arise My Love,Alcoholic,Ordinary Drink,Champagne flute,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.
12562,Alice Cocktail,Non alcoholic,Cocktail,Cocktail glass,"Shake well, strain into a large cocktail glass."
12704,Limeade,Non alcoholic,Other/Unknown,Highball glass,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
16986,Bible Belt,Alcoholic,Other/Unknown,Highball glass,"Mix all ingredients, and pour over ice."
14642,Grim Reaper,Alcoholic,Ordinary Drink,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
11054,Arthur Tompkins,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."
14842,Midnight Mint,Alcoholic,Cocktail,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
15330,Orange Crush,Alcoholic,Shot,Shot glass,Add all ingredients to tumbler-Pour as shot
12916,Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
16354,Arizona Antifreeze,Alcoholic,Shot,Shot glass,Pour all ingredients into shot glass and slam !!!!
11227,Champagne Cocktail,Alcoholic,Ordinary Drink,Champagne flute,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.
11408,Gin Daisy,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
12738,Hot Chocolate to Die for,Non alcoholic,Cocoa,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
12101,Rusty Nail,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
13539,Ice Pick #1,Alcoholic,Ordinary Drink,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.
13254,Moscow Mule,Alcoholic,Punch / Party Drink,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
11004,Abilene,Alcoholic,Ordinary Drink,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
17204,Long Island Iced Tea,Alcoholic,Ordinary Drink,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
12770,Iced Coffee,Non alcoholic,Coffee / Tea,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
12794,Angelica Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month."
